Uniprot_L,Uniprot_R,Gene_L,Gene_R,Kd_nM,Method,Confidence,log10_Kd_nM,Ref_csv,protein_identifier_1,transmembrane_1,peripheral_1,secreted_1,receptor_1,protein_identifier_2,transmembrane_2,peripheral_2,secreted_2,receptor_2,pair_label
P30511,P43629,HLAF,KIR3DL1,157,NA,NA,2.198657087,https://www.ncbi.nlm.nih.gov/pubmed/27455421,HLAF_HUMAN,TRUE,FALSE,FALSE,FALSE,KI3L1_HUMAN,TRUE,FALSE,FALSE,TRUE,HLAF + KIR3DL1
Q13740,Q13740,ALCAM,ALCAM,42000,NA,NA,4.623259631,https://www.ncbi.nlm.nih.gov/pubmed/15048703,CD166_HUMAN,TRUE,FALSE,TRUE,FALSE,CD166_HUMAN,TRUE,FALSE,TRUE,FALSE,ALCAM + ALCAM
O75144,Q9Y6W8,ICOSLG,ICOS,24,NA,NA,1.397940009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2759495/,ICOSL_HUMAN,TRUE,FALSE,FALSE,FALSE,ICOS_HUMAN,TRUE,FALSE,TRUE,TRUE,ICOS + ICOSLG
Q9BY67,O95727,CADM1,CRTAM,12500,NA,NA,4.096944755,https://www.ncbi.nlm.nih.gov/pubmed/23871486,CADM1_HUMAN,TRUE,FALSE,FALSE,FALSE,CRTAM_HUMAN,TRUE,FALSE,FALSE,FALSE,CADM1 + CRTAM
P17693,Q8N423,HLAG,LILRB2,4300,NA,NA,3.633569443,"https://www.ncbi.nlm.nih.gov/pubmed/16455647,https://www.ncbi.nlm.nih.gov/pubmed/17056715",HLAG_HUMAN,TRUE,FALSE,FALSE,TRUE,LIRB2_HUMAN,TRUE,FALSE,FALSE,TRUE,HLAG + LILRB2
P17693,Q8NHL6,HLAG,LILRB1,2500,NA,NA,3.398113692,https://www.ncbi.nlm.nih.gov/pubmed/16455647,HLAG_HUMAN,TRUE,FALSE,FALSE,TRUE,LIRB1_HUMAN,TRUE,FALSE,TRUE,TRUE,HLAG + LILRB1
P09603,P07333,CSF1,CSF1R,720,NA,NA,2.857935265,https://www.ncbi.nlm.nih.gov/pubmed/22483114/,CSF1_HUMAN,TRUE,FALSE,TRUE,FALSE,CSF1R_HUMAN,TRUE,FALSE,FALSE,TRUE,CSF1 + CSF1R
P13688,P31997,CEACAM1,CEACAM8,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/24743304,CEAM1_HUMAN,TRUE,FALSE,TRUE,FALSE,CEAM8_HUMAN,TRUE,FALSE,FALSE,FALSE,CEACAM1 + CEACAM8
P13688,P06731,CEACAM1,CEACAM5,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/15905509,CEAM1_HUMAN,TRUE,FALSE,TRUE,FALSE,CEAM5_HUMAN,TRUE,FALSE,FALSE,FALSE,CEACAM1 + CEACAM5
P13688,P40199,CEACAM1,CEACAM6,NA,NA,NA,#VALUE!,ISBN: 9780471701323,CEAM1_HUMAN,TRUE,FALSE,TRUE,FALSE,CEAM6_HUMAN,TRUE,FALSE,FALSE,FALSE,CEACAM1 + CEACAM6
P13688,P13688,CEACAM1,CEACAM1,7650,NA,NA,3.883718202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2779236/,CEAM1_HUMAN,TRUE,FALSE,TRUE,FALSE,CEAM1_HUMAN,TRUE,FALSE,TRUE,FALSE,CEACAM1 + CEACAM1
Q8NHJ6,Q6GTX8,LAIR1,LILRB4,200000,NA,NA,5.301032167,https://www.ncbi.nlm.nih.gov/pubmed/19283782/,LIRB4_HUMAN,TRUE,FALSE,FALSE,TRUE,LAIR1_HUMAN,TRUE,FALSE,FALSE,TRUE,LAIR1 + LILRB4
P06731,P01732,CEACAM5,CD8A,22,NA,NA,1.361727836,https://www.ncbi.nlm.nih.gov/pubmed/24104458,CEAM5_HUMAN,TRUE,FALSE,FALSE,FALSE,CD8A_HUMAN,TRUE,FALSE,TRUE,TRUE,CD8A + CEACAM5
P06731,P15813,CEACAM5,CD1D,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/24104458,CEAM5_HUMAN,TRUE,FALSE,FALSE,FALSE,CD1D_HUMAN,TRUE,FALSE,FALSE,FALSE,CD1D + CEACAM5
P30511,Q8NHL6,HLAF,LILRB1,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/11169396,HLAF_HUMAN,TRUE,FALSE,FALSE,FALSE,LIRB1_HUMAN,TRUE,FALSE,TRUE,TRUE,HLAF + LILRB1
P30511,Q8N423,HLAF,LILRB2,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/11169396,HLAF_HUMAN,TRUE,FALSE,FALSE,FALSE,LIRB2_HUMAN,TRUE,FALSE,FALSE,TRUE,HLAF + LILRB2
Q92854,P21854,SEMA4D,CD72,300,NA,NA,2.478566496,https://www.ncbi.nlm.nih.gov/pubmed/11114375,SEM4D_HUMAN,TRUE,FALSE,FALSE,TRUE,CD72_HUMAN,TRUE,FALSE,FALSE,FALSE,CD72 + SEMA4D
P30203,Q13740,CD6,ALCAM,120,NA,NA,2.08278537,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4533223/,https://www.ncbi.nlm.nih.gov/pubmed/15048703",CD6_HUMAN,TRUE,FALSE,TRUE,FALSE,CD166_HUMAN,TRUE,FALSE,TRUE,FALSE,ALCAM + CD6
Q9Y624,Q9Y624,F11R,F11R,15,"PDB,SPR",5,1.204119983,"https://www.ncbi.nlm.nih.gov/pubmed/10913139/,https://www.ncbi.nlm.nih.gov/pubmed/12697893/",JAM1_HUMAN,TRUE,FALSE,FALSE,TRUE,JAM1_HUMAN,TRUE,FALSE,FALSE,TRUE,F11R + F11R
Q9Y624,P20701,F11R,ITGALB2,500,NA,NA,2.699837726,"https://www.ncbi.nlm.nih.gov/pubmed/15528364,https://www.ncbi.nlm.nih.gov/pubmed/11812992",JAM1_HUMAN,TRUE,FALSE,FALSE,TRUE,ITAL_HUMAN,TRUE,FALSE,FALSE,TRUE,F11R + ITGALB2
Q9BX67,P11215,JAM3,ITGAMB2,35,NA,NA,1.556302501,"https://www.ncbi.nlm.nih.gov/pubmed/16118203,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2194005/",JAM3_HUMAN,TRUE,FALSE,TRUE,FALSE,ITAM_HUMAN,TRUE,FALSE,FALSE,TRUE,ITGAMB2 + JAM3
P07359,P11215,GP1BA,ITGAMB2,20000,NA,NA,4.30105171,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2194217/,GP1BA_HUMAN,TRUE,FALSE,FALSE,FALSE,ITAM_HUMAN,TRUE,FALSE,FALSE,TRUE,GP1BA + ITGAMB2
P06734,P11215,FCER2,ITGAMB2,NA,NA,1,#VALUE!,"https://www.ncbi.nlm.nih.gov/pubmed/7621072,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2143337/",FCER2_HUMAN,TRUE,FALSE,TRUE,TRUE,ITAM_HUMAN,TRUE,FALSE,FALSE,TRUE,FCER2 + ITGAMB2
P06734,P06756,FCER2,ITGAVB3,NA,NA,1,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/10037797/,FCER2_HUMAN,TRUE,FALSE,TRUE,TRUE,ITAV_HUMAN,TRUE,FALSE,FALSE,TRUE,FCER2 + ITGAVB3
P06734,P20702,FCER2,ITGAXB2,NA,NA,1,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/7621072,FCER2_HUMAN,TRUE,FALSE,TRUE,TRUE,ITAX_HUMAN,TRUE,FALSE,FALSE,TRUE,FCER2 + ITGAXB2
P06734,P20023,FCER2,CR2,263,NA,NA,2.421603927,"https://www.ncbi.nlm.nih.gov/pubmed/16785534,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2212946/",FCER2_HUMAN,TRUE,FALSE,TRUE,TRUE,CR2_HUMAN,TRUE,FALSE,FALSE,TRUE,CR2 + FCER2
P04216,P20702,THY1,ITGAXB2,1160,NA,NA,3.06483222,https://www.ncbi.nlm.nih.gov/pubmed/15850796,THY1_HUMAN,TRUE,FALSE,FALSE,FALSE,ITAX_HUMAN,TRUE,FALSE,FALSE,TRUE,ITGAXB2 + THY1
P04216,P11215,THY1,ITGAMB2,2400,NA,NA,3.38039216,https://www.ncbi.nlm.nih.gov/pubmed/15850796,THY1_HUMAN,TRUE,FALSE,FALSE,FALSE,ITAM_HUMAN,TRUE,FALSE,FALSE,TRUE,ITGAMB2 + THY1
P16284,P28907,PECAM1,CD38,NA,NA,NA,#VALUE!,"https://www.ncbi.nlm.nih.gov/pubmed/9551996,https://www.ncbi.nlm.nih.gov/pubmed/26407101",PECA1_HUMAN,TRUE,FALSE,FALSE,TRUE,CD38_HUMAN,TRUE,FALSE,FALSE,TRUE,CD38 + PECAM1
P16150,P05362,SPN,ICAM1,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/1683685,LEUK_HUMAN,TRUE,FALSE,FALSE,FALSE,ICAM1_HUMAN,TRUE,FALSE,FALSE,TRUE,ICAM1 + SPN
P16150,Q9BZZ2,SPN,SIGLEC1,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/11238599,LEUK_HUMAN,TRUE,FALSE,FALSE,FALSE,SN_HUMAN,TRUE,FALSE,TRUE,FALSE,SIGLEC1 + SPN
P08575,P22897,PTPRC,MRC1,NA,NA,NA,#VALUE!,"https://www.ncbi.nlm.nih.gov/pubmed/27601670,https://www.ncbi.nlm.nih.gov/pubmed/10575006",PTPRC_HUMAN,TRUE,FALSE,FALSE,FALSE,MRC1_HUMAN,TRUE,FALSE,FALSE,TRUE,MRC1 + PTPRC
Q7Z6A9,Q92956,BTLA,TNFRSF14,290,NA,NA,2.463892989,https://www.ncbi.nlm.nih.gov/pubmed/21959263,BTLA_HUMAN,TRUE,FALSE,FALSE,TRUE,TNR14_HUMAN,TRUE,FALSE,FALSE,TRUE,BTLA + TNFRSF14
Q96E93,P12830,KLRG1,CDH1,150000,NA,NA,5.176094154,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3030123/,KLRG1_HUMAN,TRUE,FALSE,FALSE,TRUE,CADH1_HUMAN,TRUE,FALSE,FALSE,FALSE,CDH1 + KLRG1
Q08722,P78324,CD47,SIRPA,2000,NA,NA,3.301247089,https://www.ncbi.nlm.nih.gov/pubmed/10964914,CD47_HUMAN,TRUE,FALSE,FALSE,TRUE,SHPS1_HUMAN,TRUE,FALSE,FALSE,TRUE,CD47 + SIRPA
Q08722,Q9P1W8,CD47,SIRPG,23000,NA,NA,4.361746718,https://www.ncbi.nlm.nih.gov/pubmed/15294972,CD47_HUMAN,TRUE,FALSE,FALSE,TRUE,SIRPG_HUMAN,TRUE,FALSE,FALSE,FALSE,CD47 + SIRPG
P15813,Q8N423,CD1D,LILRB2,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/19124746/,CD1D_HUMAN,TRUE,FALSE,FALSE,FALSE,LIRB2_HUMAN,TRUE,FALSE,FALSE,TRUE,CD1D + LILRB2
Q9UIB8,Q9UIB8,CD84,CD84,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/11564780,SLAF5_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAF5_HUMAN,TRUE,FALSE,FALSE,TRUE,CD84 + CD84
Q9NQ25,Q9NQ25,SLAMF7,SLAMF7,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/12213321,SLAF7_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAF7_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAMF7 + SLAMF7
Q96DU3,Q96DU3,SLAMF6,SLAMF6,19700,NA,NA,4.294488271,"https://www.ncbi.nlm.nih.gov/pubmed/15162436,https://www.ncbi.nlm.nih.gov/pubmed/17045824",SLAF6_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAF6_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAMF6 + SLAMF6
Q9HBG7,Q9HBG7,LY9,LY9,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/15905546,LY9_HUMAN,TRUE,FALSE,FALSE,TRUE,LY9_HUMAN,TRUE,FALSE,FALSE,TRUE,LY9 + LY9
Q9P0V8,Q9P0V8,SLAMF8,SLAMF8,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4370648/,SLAF8_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAF8_HUMAN,TRUE,FALSE,FALSE,TRUE,SLAMF8 + SLAMF8
P32971,P28908,TNFL8,TNFRSF8,5,NA,NA,0.77815125,"https://www.ncbi.nlm.nih.gov/pubmed/11754357,https://www.ncbi.nlm.nih.gov/pubmed/26721880",TNFL8_HUMAN,TRUE,FALSE,FALSE,FALSE,TNR8_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFL8 + TNFRSF8
P15151,Q9NQS3,PVR,NECT3,71,NA,NA,1.857332496,"https://www.ncbi.nlm.nih.gov/pubmed/19011627,https://www.ncbi.nlm.nih.gov/pubmed/12740392/",PVR_HUMAN,TRUE,FALSE,TRUE,TRUE,PVRL3_HUMAN,TRUE,FALSE,FALSE,FALSE,NECT3 + PVR
Q495A1,Q9NQS3,TIGIT,NECT3,39,NA,NA,1.602059991,https://www.ncbi.nlm.nih.gov/pubmed/19011627,TIGIT_HUMAN,TRUE,FALSE,FALSE,FALSE,PVRL3_HUMAN,TRUE,FALSE,FALSE,FALSE,NECT3 + TIGIT
Q92692,Q9NQS3,PVRL2,NECT3,14,NA,NA,1.176091259,"https://www.ncbi.nlm.nih.gov/pubmed/19011627,https://www.ncbi.nlm.nih.gov/pubmed/12740392/",PVRL2_HUMAN,TRUE,FALSE,FALSE,TRUE,PVRL3_HUMAN,TRUE,FALSE,FALSE,FALSE,NECT3 + PVRL2
P57087,Q9BX67,JAM2,JAM3,NA,NA,NA,#VALUE!,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1237098/,https://www.ncbi.nlm.nih.gov/pubmed/11590146",JAM2_HUMAN,TRUE,FALSE,FALSE,FALSE,JAM3_HUMAN,TRUE,FALSE,TRUE,FALSE,JAM2 + JAM3
P57087,P13612,JAM2,ITGA4B1,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/12070135/,JAM2_HUMAN,TRUE,FALSE,FALSE,FALSE,ITA4_HUMAN,TRUE,FALSE,FALSE,TRUE,ITGA4B1 + JAM2
P25063,P16109,CD24,SELP,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/9129046,CD24_HUMAN,TRUE,FALSE,FALSE,FALSE,LYAM3_HUMAN,TRUE,FALSE,FALSE,FALSE,CD24 + SELP
P28906,P16109,CD34,SELP,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/18606703,CD34_HUMAN,TRUE,FALSE,FALSE,FALSE,LYAM3_HUMAN,TRUE,FALSE,FALSE,FALSE,CD34 + SELP
P28906,P14151,CD34,SELL,NA,NA,NA,#VALUE!,"https://www.ncbi.nlm.nih.gov/pubmed/7692600,https://www.ncbi.nlm.nih.gov/pubmed/8977216",CD34_HUMAN,TRUE,FALSE,FALSE,FALSE,LYAM1_HUMAN,TRUE,FALSE,FALSE,FALSE,CD34 + SELL
O95971,Q92956,CD160,TNFRSF14,340,NA,NA,2.532754379,https://www.ncbi.nlm.nih.gov/pubmed/21959263,BY55_HUMAN,TRUE,FALSE,FALSE,TRUE,TNR14_HUMAN,TRUE,FALSE,FALSE,TRUE,CD160 + TNFRSF14
O75888,O14836,TNFSF13,TNFRSF13B,0.91,NA,NA,0.281033367,"https://www.ncbi.nlm.nih.gov/pubmed/10898980,https://www.ncbi.nlm.nih.gov/pubmed/12370363",TNF13_HUMAN,FALSE,FALSE,TRUE,FALSE,TR13B_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF13B + TNFSF13
O75888,Q02223,TNFSF13,TNFRSF17,0.5,NA,NA,0.176091259,https://www.ncbi.nlm.nih.gov/pubmed/10898980,TNF13_HUMAN,FALSE,FALSE,TRUE,FALSE,TNR17_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFRSF17 + TNFSF13
O14788,Q9Y6Q6,TNFSF11,TNR11,0.1,NA,NA,0.041392685,"https://www.ncbi.nlm.nih.gov/pubmed/16547002,https://www.ncbi.nlm.nih.gov/pubmed/19416721,https://www.ncbi.nlm.nih.gov/pubmed/20483727",TNF11_HUMAN,TRUE,FALSE,TRUE,TRUE,TNR11_HUMAN,TRUE,FALSE,FALSE,TRUE,TNFSF11 + TNR11
P01375,P19438,TNF,TNR1A,NA,NA,NA,#VALUE!,https://www.ncbi.nlm.nih.gov/pubmed/16547002,TNFA_HUMAN,TRUE,FALSE,TRUE,FALSE,TNR1A_HUMAN,TRUE,FALSE,TRUE,TRUE,TNF + TNR1A
Q9BY67,Q9BY67,CADM1,CADM1,114.4,NA,NA,2.062205809,"https://www.ncbi.nlm.nih.gov/pubmed/24503895,https://www.ncbi.nlm.nih.gov/pubmed/30131958",CADM1_HUMAN,TRUE,FALSE,FALSE,FALSE,CADM1_HUMAN,TRUE,FALSE,FALSE,FALSE,CADM1 + CADM1
Q15223,Q15223,PVRL1,PVRL1,17500,NA,NA,4.243062865,https://www.ncbi.nlm.nih.gov/pubmed/22902367,PVRL1_HUMAN,TRUE,FALSE,TRUE,TRUE,PVRL1_HUMAN,TRUE,FALSE,TRUE,TRUE,PVRL1 + PVRL1
Q15223,Q9NQS3,PVRL1,NECT3,2.3,NA,NA,0.51851394,https://www.ncbi.nlm.nih.gov/pubmed/12740392/,PVRL1_HUMAN,TRUE,FALSE,TRUE,TRUE,PVRL3_HUMAN,TRUE,FALSE,FALSE,FALSE,NECT3 + PVRL1
