from,to,source,database
CD200,CD200R1,litterature,P41217 + Q8TD46
CD2,CD58,litterature,P06729 + P19256
CD244,CD48,litterature,Q9BZW8 + P09326
CD40LG,CD40,litterature,P29965 + P25942
NECTIN2,CD226,litterature,Q92692 + Q15762
CD226,NECTIN2,litterature,Q15762 + Q92692
PVR,CD226,litterature,P15151 + Q15762
PVR,TIGIT,litterature,P15151 + Q495A1
CD226,PVR,litterature,Q15762 + P15151
TIGIT,PVR,litterature,Q495A1 + P15151
NECTIN2,TIGIT,litterature,Q92692 + Q495A1
TIGIT,NECTIN2,litterature,Q495A1 + Q92692
NECTIN2,NECTIN2,litterature,Q92692 + Q92692
NECTIN1,NECTIN1,litterature,Q15223 + Q15223
NECTIN1,NECTIN3,litterature,Q15223 + Q9NQS3
NECTIN3,NECTIN1,litterature,Q9NQS3 + Q15223
PVR,NECTIN3,litterature,P15151 + Q9NQS3
TIGIT,NECTIN3,litterature,Q495A1 + Q9NQS3
NECTIN3,PVR,litterature,Q9NQS3 + P15151
NECTIN3,TIGIT,litterature,Q9NQS3 + Q495A1
NECTIN2,NECTIN3,litterature,Q92692 + Q9NQS3
NECTIN3,NECTIN2,litterature,Q9NQS3 + Q92692
CD96,PVR,litterature,P40200 + P15151
PVR,CD96,litterature,P15151 + P40200
CD80,CD28,litterature,P33681 + P10747
CD86,CD28,litterature,P42081 + P10747
CD80,CTLA4,litterature,P33681 + P16410
CD86,CTLA4,litterature,P42081 + P16410
CD274,CD80,litterature,Q9NZQ7 + P33681
CD80,CD274,litterature,P33681 + Q9NZQ7
CD274,PDCD1,litterature,Q9NZQ7 + Q15116
PDCD1LG2,PDCD1,litterature,Q9BQ51 + Q15116
TNF,TNFRSF1B,litterature,P01375 + P20333
CSF1,CSF1R,litterature,P09603 + P07333
CD70,CD27,litterature,P32970 + P26842
ICOSLG,ICOS,litterature,O75144 + Q9Y6W8
FASLG,FAS,litterature,P48023 + P25445
TNFSF9,TNFRSF9,litterature,P41273 + Q07011
TNFSF14,TNFRSF14,litterature,O43557 + Q92956
TNFSF10,TNFRSF10A,litterature,P50591 + O00220
TNFSF10,TNFRSF10C,litterature,P50591 + O14798
BTLA,TNFRSF14,litterature,Q7Z6A9 + Q92956
TNFSF13B,TNFRSF13C,litterature,Q9Y275 + Q96RJ3
TNFSF13B,TNFRSF17,litterature,Q9Y275 + Q02223
TNFSF13B,TNFRSF13B,litterature,Q9Y275 + O14836
VCAM1,ITGA4,litterature,P19320 + P13612
VCAM1,ITGB7,litterature,P19320 + P26010
ITGAL,ICAM1,litterature,P20701 + P05362
ITGAL,ICAM2,litterature,P20701 + P13598
ITGAL,ICAM3,litterature,P20701 + P32942
ITGAL,ICAM4,litterature,P20701 + Q14773
ITGAM,ICAM1,litterature,P11215 + P05362
ICAM1,ITGAL,litterature,P05362 + P20701
ICAM2,ITGAL,litterature,P13598 + P20701
ICAM3,ITGAL,litterature,P32942 + P20701
ICAM4,ITGAL,litterature,Q14773 + P20701
ICAM1,ITGAM,litterature,P05362 + P11215
ICAM1,ITGAX,litterature,P05362 + P20702
ICAM3,ITGAD,litterature,P32942 + Q13349
VCAM1,ITGAD,litterature,P19320 + Q13349
CD177,PECAM1,litterature,Q8N6Q3 + P16284
PECAM1,CD177,litterature,P16284 + Q8N6Q3
JAM3,JAM3,litterature,Q9BX67 + Q9BX67
ALCAM,ALCAM,litterature,Q13740 + Q13740
PECAM1,PECAM1,litterature,P16284 + P16284
CDH2,FCER2,JS,P19022 + P06734
FCER2,CDH2,JS,P06734 + P19022
CADM1,CRTAM,litterature,Q9BY67 + O95727
CEACAM1,CEACAM1,litterature,P13688 + P13688
HLA-E,KLRC1,litterature,P13747 + P26715
HLA-E,KLRC2,litterature,P13747 + P26717
HLA-F,KIR3DL2,litterature,P30511 + P43630
HLA-F,KIR3DL1,litterature,P30511 + P43629
LAIR1,LILRB4,litterature,Q6GTX8 + Q8NHJ6
HLA-G,LILRB1,litterature,P17693 + Q8NHL6
HLA-F,LILRB1,litterature,P30511 + Q8NHL6
HLA-F,VSIR,JS,Q9H7M9 + P30511
HLA-E,VSIR,JS,Q9H7M9 + P13747
CD6,ALCAM,litterature,P30203 + Q13740
ALCAM,CD6,litterature,Q13740 + P30203
F11R,F11R,litterature,Q9Y624 + Q9Y624
F11R,ITGAL,litterature,Q9Y624 + P20701
JAM3,ITGAM,litterature,Q9BX67 + P11215
GP1BA,ITGAM,litterature,P07359 + P11215
THY1,ITGAX,litterature,P04216 + P20702
THY1,ITGAM,litterature,P04216 + P11215
FCER2,ITGAM,litterature,P06734 + P11215
FCER2,ITGAV,litterature,P06734 + P06756
FCER2,ITGAX,litterature,P06734 + P20702
FGFR4,SDC2,JS,P22455 + P34741
SDC2,FGFR4,JS,P34741 + P22455
FCER2,CR2,litterature,P06734 + P20023
PECAM1,CD38,litterature,P16284 + P28907
CD38,PECAM1,litterature,P28907 + P16284
SPN,ICAM1,litterature,P16150 + P05362
SPN,SIGLEC1,litterature,P16150 + Q9BZZ2
PTPRC,MRC1,litterature,P08575 + P22897
MRC1,PTPRC,litterature,P22897 + P08575
KLRG1,CDH1,litterature,Q96E93 + P12830
CD47,SIRPA,litterature,Q08722 + P78324
CD84,CD84,litterature,Q9UIB8 + Q9UIB8
LY9,LY9,litterature,Q9HBG7 + Q9HBG7
SLAMF1,SLAMF1,litterature,Q13291 + Q13291
SLAMF7,SLAMF7,litterature,Q9NQ25 + Q9NQ25
SLAMF6,SLAMF6,litterature,Q96DU3 + Q96DU3
SLAMF8,SLAMF8,litterature,Q9P0V8 + Q9P0V8
TNFSF8,TNFRSF8,litterature,P32971 + P28908
CD24,SELP,litterature,P25063 + P16109
CD34,SELP,litterature,P28906 + P16109
CD34,SELL,litterature,P28906 + P14151
SELP,CD24,litterature,P16109 + P25063
SELP,CD34,litterature,P16109 + P28906
SELL,CD34,litterature,P14151 + P28906
CD160,TNFRSF14,litterature,O95971 + Q92956
TNFSF4,TNFRSF4,litterature,P23510 + P43489
TNFSF13,TNFRSF13B,litterature,O75888 + O14836
TNFSF13,TNFRSF17,litterature,O75888 + Q02223
TNFSF11,TNFRSF11A,litterature,O14788 + Q9Y6Q6
TNFSF10,TNFRSF10B,litterature,P50591 + O14763
TNFSF12,TNFRSF12A,litterature,O43508 + Q9NP84
TNFSF10,TNFRSF10D,litterature,P50591 + Q9UBN6
TNF,TNFRSF1A,litterature,P01375 + P19438
ADGRE5,CD55,litterature,P48960 + P08174
CD55,ADGRE5,litterature,P08174 + P48960
CD40LG,ITGA2B,litterature,P29965 + P08514
CD40LG,ITGA5,litterature,P29965 + P08648
PLAUR,ITGA4,litterature,Q03405 + P13612
PLAUR,ITGAV,litterature,Q03405 + P06756
THY1,ITGAV,litterature,P04216 + P06756
CDH1,ITGA2,litterature,P12830 + P17301
L1CAM,ITGAV,litterature,P32004 + P06756
L1CAM,ITGA5,litterature,P32004 + P08648
L1CAM,L1CAM,litterature,P32004 + P32004
CHL1,L1CAM,JS,O00533 + P32004
L1CAM,CHL1,JS,P32004 + O00533
CADM1,CADM1,litterature,Q9BY67 + Q9BY67
CD320,JAML,JS,Q9NPF0 + Q86YT9
JAML,CD320,JS,Q86YT9 + Q9NPF0
JAM2,JAM3,litterature,P57087 + Q9BX67
JAM2,ITGA4,litterature,P57087 + P13612
CNTN1,MCAM,JS,Q12860 + P43121
MCAM,CNTN1,JS,P43121 + Q12860
NCAM1,NCAM1,litterature,P13591 + P13591
NCAM1,FGFR1,litterature,P13591 + P11362
CD209,ICAM3,litterature,Q9NNX6 + P32942
CLEC4M,ICAM3,litterature,Q9H2X3 + P32942
SELE,CD44,litterature,P31358 + Q96LC7
CD44,SELE,litterature,P16070 + P16581
SELE,SELPLG,litterature,Q14242 + P16581
GLG1,SELE,litterature,Q92896 + P16581
SELL,SELPLG,litterature,P14151 + Q14242
SELL,PODXL,litterature,P14151 + O00592
SELP,SELPLG,litterature,P16109 + Q14242
CEACAM1,CD209,litterature,P13688 + Q9NNX6
CEACAM1,SELE,litterature,P13688 + P16581
CDH1,CDH1,litterature,P12830 + P12830
DSG1,DSC1,litterature,Q02413 + Q08554
DSG1,DSC2,litterature,Q02413 + Q02487
DSG1,DSC3,litterature,Q02413 + Q14574
DSG2,DSC1,litterature,Q14126 + Q08554
DSG2,DSC2,litterature,Q14126 + Q02487
DSG2,DSC3,litterature,Q14126 + Q14574
ESAM,ESAM,litterature,Q96AP7 + Q96AP7
CNTN1,NRCAM,JS,Q12860 + Q92823
NRCAM,CNTN1,JS,Q92823 + Q12860
EFNB1,EPHA2,JS,P98172 + P29317
EFNB1,EPHA4,JS,P98172 + P54764
EFNB1,EPHB1,litterature,P98172 + P54762
EFNB1,EPHB2,litterature,P98172 + P29323
APP,LRP10,litterature,P05067 + Q7Z4F1
APP,CD74,litterature,P05067 + P04233
APP,TNFRSF21,litterature,P05067 + O75509
SDC1,TNFRSF21,litterature,P18827 + O75509
PI16,TNFRSF21,JS,Q6UXB8 + O75509
APLP2,PIGR,JS,Q06481 + P01833
APLP2,PLXNA4,JS,Q06481 + Q9HCM2
APP,PLXNA4,JS,P05067 + Q9HCM2
CD80,NGFR,JS,P33681 + P08138
SEMA4D,CD72,litterature,Q92854 + P21854
SEMA4A,PLXND1,litterature,Q9H3S1 + Q9Y4D7
SEMA7A,PLXNC1,litterature,O75326 + O60486
SEMA4D,PLXNB2,litterature,O15031 + Q92854
SEMA4D,PLXNB3,JS,Q9ULL4 + Q92854
SEMA4C,PLXNB2,litterature,Q9C0C4 + O15031
FGFR4,TGFBR3,JS,P22455 + Q03167
TGFBR3,FGFR4,JS,Q03167 + P22455
IL1RAP,PTPRF,JS,Q9NPH3 + P10586
FLT3LG,FLT3,litterature,P49771 + P36888
JAG1,CD46,litterature,P78504 + P15529
JAG1,VASN,JS,P78504 + Q6EMK4
JAG2,VASN,JS,Q9Y219 + Q6EMK4
OLR1,SLITRK4,JS,P78380 + Q8IW52
SLITRK4,OLR1,JS,Q8IW52 + P78380
CD93,IFNGR1,JS,Q9NPY3 + P15260
