Plate,Row,Column,final_ngul,band_intensity,rank_ngul,predict_MW,band_MW,band_notes
I,A,1,124.3097307,6,0.818,42.4946,44,
I,A,2,124.8848573,5,0.819,51.61275,48,extended
I,A,3,114.4798417,6,0.766,41.38895,44,
I,A,4,86.72380125,5,0.63,108.3738,92,
I,A,5,74.98335162,5,0.559,113.447,96,
I,A,6,208.1793564,6,0.977,114.9379,68,faint 28
I,A,7,77.45746918,4,0.572,81.79455,72,
I,A,8,89.97310667,4,0.653,48.59401,37,faint 30
I,A,9,83.00837767,4,0.61,120.145,97,
I,A,10,6.715732594,0,0.132,121.0907,0,
I,A,11,125.9780727,6,0.822,29.33718,37,
I,A,12,88.79943487,4,0.645,103.679,95,
I,B,1,10.66989424,0,0.159,70.52985,0,
I,B,2,22.26820323,1,0.227,81.34352,,maybe faint 72
I,B,3,0,0,0.001,97.75476,0,
I,B,4,107.0054195,5,0.733,44.32998,62,
I,B,5,5.268889003,0,0.123,53.94032,0,
I,B,6,23.08751417,0,0.238,53.37983,0,
I,B,7,147.2787092,5,0.889,56.39179,40,
I,B,8,50.90276883,4,0.404,73.46672,62,
I,B,9,0,0,0.001,204.1288,0,
I,B,10,184.6451478,7,0.958,74.21372,67,
I,B,11,68.32127289,4,0.523,30.52364,37,doublet
I,B,12,173.7415475,5,0.934,110.0927,96,
I,C,1,98.39643209,3,0.705,55.10085,56,
I,C,2,50.10900889,4,0.397,137.2605,115,
I,C,3,82.6452522,5,0.607,254.4462,200,
I,C,4,145.6525815,4,0.885,90.30968,90,
I,C,5,74.69934835,4,0.556,110.402,94,
I,C,6,0,0,0.001,62.69891,0,
I,C,7,75.70323542,4,0.561,66.87082,94,
I,C,8,190.222967,5,0.964,107.3803,90,28
I,C,9,173.4731128,5,0.933,65.53374,62,
I,C,10,98.27338512,4,0.702,167.4583,135,
I,C,11,0,0,0.001,60.90881,0,
I,C,12,37.95319723,2,0.333,63.98868,59,
I,D,1,87.63532193,4,0.635,114.1255,92,
I,D,2,17.5472218,0,0.2,61.23641,0,
I,D,3,244.6756305,7,0.992,67.8954,62,
I,D,4,207.3616142,6,0.976,79.53768,54,spread
I,D,5,136.2993387,5,0.864,73.81604,65,
I,D,6,0,0,0.001,178.5619,0,
I,D,7,218.4320778,6,0.983,58.31409,58,
I,D,8,12.27423763,0,0.171,166.1689,0,
I,D,9,26.10397294,2,0.258,165.8753,130,
I,D,10,163.6314831,6,0.919,55.25325,52,
I,D,11,131.575756,5,0.848,71.5944,64,
I,D,12,3.607613929,0,0.119,89.51408,0,
I,E,1,94.63770001,4,0.678,51.48256,63,
I,E,2,61.3330819,2,0.474,67.56728,62,
I,E,3,113.7432531,5,0.763,59.12623,53,darker 35 doublet
I,E,4,20.57277461,4,0.221,75.80636,70,
I,E,5,33.67343094,4,0.309,82.17123,100,
I,E,6,2.57865,1,0.114,125.2831,,maybe faint 98
I,E,7,123.9004299,5,0.816,116.6696,94,
I,E,8,7.094253924,0,0.133,35.00467,0,
I,E,9,0,0,0.001,45.65869,0,
I,E,10,171.3418176,6,0.93,43.7194,51,
I,E,11,156.9887756,4,0.909,76.3272,66,60
I,E,12,0,0,0.001,159.5665,0,
I,F,1,114.0788306,6,0.764,57.08904,70,
I,F,2,0,0,0.001,134.5657,0,
I,F,3,19.48771712,3,0.211,184.1595,160,
I,F,4,18.94531084,0,0.206,52.75668,33,
I,F,5,164.9977063,5,0.922,129.5979,100,
I,F,6,174.7122554,5,0.938,151.7981,108,
I,F,7,175.8003896,4,0.941,52.49539,59,
I,F,8,120.1791222,5,0.8,61.34686,62,
I,F,9,20.0252113,0,0.215,91.0034,0,
I,F,10,119.2236906,1,0.793,114.7897,53,faint 51
I,F,11,218.0353889,8,0.982,46.26398,43,
I,F,12,79.49470632,4,0.583,166.1689,120,"97,74"
I,G,1,31.49030088,0,0.294,101.4885,0,
I,G,2,33.00438583,0,0.308,174.1019,0,
I,G,3,145.8133198,4,0.886,77.9562,70,
I,G,4,220.0480332,1,0.985,121.1363,100,few other fainter bands
I,G,5,181.8071471,7,0.953,49.70185,55,
I,G,6,53.13791638,0,0.421,162.4576,0,
I,G,7,83.69882476,5,0.617,52.42922,49,
I,G,8,120.3625894,4,0.802,60.56874,60,
I,G,9,118.2525683,5,0.788,44.60153,51,
I,G,10,138.2017966,7,0.872,64.28542,90,
I,G,11,119.5078175,5,0.796,43.71243,52,
I,G,12,112.5635654,4,0.757,48.30353,62,
I,H,1,174.1445404,5,0.937,58.0807,60,
I,H,2,71.74573782,0,0.54,122.191,0,
I,H,3,198.1045196,0,0.97,132.1557,105,
I,H,4,192.5524707,7,0.965,48.14427,53,
I,H,5,0,0,0.001,60.49676,0,
I,H,6,174.9593205,5,0.94,48.76703,52,
I,H,7,86.41416411,4,0.627,116.6286,100,
I,H,8,91.43274067,0,0.662,169.1226,97,darker 42 band
I,H,9,223.9516032,5,0.988,80.99171,71,
I,H,10,299.7406494,7,0.995,101.5085,90,
I,H,11,199.2155117,5,0.971,52.50932,53,
I,H,12,24.97173063,0,0.244,62.64684,0,
II,A,1,63.43559933,5,0.486,130.0709,105,
II,A,2,120.7967443,8,0.805,44.08242,50,
II,A,3,308.5170479,7,0.997,66.43191,61,
II,A,4,144.3314202,8,0.879,35.44512,45,
II,A,5,65.31126596,3,0.502,62.05787,37,
II,A,6,1.237478294,1,0.107,195.5522,,faint 150
II,A,7,122.8092863,5,0.809,64.69305,62,
II,A,8,142.8065384,6,0.876,39.31292,45,
II,A,9,170.7578787,6,0.925,67.16954,61,
II,A,10,74.14517861,4,0.553,50.98298,59,
II,A,11,19.69366729,2,0.212,117.3958,97,
II,A,12,156.3505872,6,0.907,96.08423,80,
II,B,1,76.73508545,5,0.569,43.67432,50,darker 37 band
II,B,2,188.7774477,5,0.962,93.35828,78,
II,B,3,0,0,0.001,164.6882,0,
II,B,4,111.2011481,6,0.752,30.24814,42,
II,B,5,35.33159684,0,0.318,143.8787,,maybe faint 60
II,B,6,13.06899001,0,0.177,42.84546,0,
II,B,7,107.7156638,5,0.735,65.24551,63,
II,B,8,78.35775689,7,0.575,75.98466,71,
II,B,9,103.3968112,4,0.723,31.50075,32,
II,B,10,143.0022157,5,0.877,53.34551,50,
II,B,11,148.4813908,5,0.894,56.4613,53,few other fainter bands
II,B,12,177.775653,7,0.947,51.31404,52,
II,C,1,12.68047566,2,0.175,63.41174,60,
II,C,2,112.9876429,4,0.758,108.5621,94,
II,C,3,51.00759972,3,0.406,46.29949,50,
II,C,4,185.2408629,4,0.959,88.36919,72,
II,C,5,117.1213333,4,0.781,59.86629,58,
II,C,6,24.75469916,0,0.242,62.64684,0,
II,C,7,93.97330989,5,0.674,112.9768,90,
II,C,8,0,0,0.001,115.1938,0,
II,C,9,123.0317551,7,0.811,98.85715,91,
II,C,10,140.6616146,6,0.873,79.50564,70,
II,C,11,0,0,0.001,75.42138,0,
II,C,12,31.38829175,4,0.293,55.57422,66,
II,D,1,141.7865102,8,0.875,36.2641,41,
II,D,2,147.4670552,5,0.891,51.35582,53,
II,D,3,149.1885967,5,0.897,109.3374,94,
II,D,4,89.220169,0,0.648,171.0688,0,few other fainter bands
II,D,5,173.02123,6,0.931,107.0303,94,
II,D,6,123.2544383,5,0.813,149.0671,109,
II,D,7,83.76760197,1,0.619,64.69416,,maybe faint 63
II,D,8,18.83871557,3,0.203,158.9578,120,
II,D,9,62.80736557,4,0.485,126.1584,98,
II,D,10,37.58960232,3,0.331,94.28284,88,
II,D,11,0,0,0.001,159.5665,0,
II,D,12,194.1758299,5,0.967,116.452,94,
II,E,1,39.66359268,4,0.34,115.9634,91,
II,E,2,71.83813471,7,0.543,66.70607,63,
II,E,3,133.1502784,5,0.854,66.69506,62,
II,E,4,41.45323658,2,0.348,67.96963,67,
II,E,5,88.94400692,3,0.647,82.58951,90,
II,E,6,119.7643072,8,0.797,37.17785,47,
II,E,7,66.33070244,0,0.51,242.9215,0,
II,E,8,131.9030177,7,0.849,47.24262,49,
II,E,9,20.53256957,3,0.22,86.17682,87,
II,E,10,9.600627382,0,0.151,69.44067,0,
II,E,11,29.7646498,0,0.287,59.73355,0,
II,E,12,145.2029674,7,0.882,112.486,95,
II,F,1,155.7132163,5,0.906,49.1845,49,
II,F,2,52.10291767,0,0.415,54.61163,0,
II,F,3,0,0,0.001,75.79592,0,
II,F,4,119.4810127,1,0.794,51.34368,,maybe 58
II,F,5,27.31800267,5,0.266,338.9078,250,
II,F,6,166.7325282,6,0.924,49.61096,48,
II,F,7,136.0132007,5,0.863,88.33189,75,
II,F,8,47.29676121,4,0.375,90.94917,80,
II,F,9,63.81621931,4,0.489,203.7435,170,
II,F,10,126.3732457,5,0.824,95.56282,71,
II,F,11,27.47608176,3,0.267,113.4637,90,
II,F,12,48.8667087,1,0.386,39.37212,0,might slight 42
II,G,1,23.58048868,0,0.239,66.66571,0,
II,G,2,65.9331265,4,0.505,125.4585,95,
II,G,3,126.5406918,6,0.827,46.15284,53,
II,G,4,82.40698046,5,0.602,64.77752,60,
II,G,5,60.81107621,0,0.465,64.17556,59,
II,G,6,66.5643693,4,0.513,52.02101,53,
II,G,7,159.0620618,7,0.913,70.11732,60,
II,G,8,131.1963217,6,0.845,64.08644,62,
II,G,9,183.3693103,8,0.956,32.91229,38,
II,G,10,0,0,0.001,149.8875,,maybe spillover when loading gel
II,G,11,0,0,0.001,53.21907,0,
II,G,12,126.4150949,5,0.825,68.37216,70,
II,H,1,64.46373199,5,0.495,71.37652,86,
II,H,2,72.4003186,5,0.549,158.3401,120,
II,H,3,104.4647874,6,0.724,54.89614,54,
II,H,4,108.8592162,0,0.739,53.42184,52,other faint bands
II,H,5,80.10250697,5,0.589,82.37521,69,
II,H,6,44.55591135,4,0.363,49.22488,53,
II,H,7,0,1,0.001,58.84536,,slight 55
II,H,8,94.20149424,5,0.677,56.4435,54,
II,H,9,203.9520839,6,0.974,67.55484,57,
II,H,10,48.2569917,4,0.38,138.3939,150,
II,H,11,26.08663026,2,0.257,71.52332,68,49
II,H,12,0,0,0.001,62.69891,0,
III,A,1,145.4030965,4,0.883,64.24329,61,
III,A,2,108.3773498,4,0.736,82.42497,80,
III,A,3,210.5101889,6,0.979,71.45817,61,smaller 42 and 36
III,A,4,105.5669081,7,0.73,51.78679,52,
III,A,5,15.51176381,2,0.187,44.10768,48,
III,A,6,0,0,0.001,72.50747,0,
III,A,7,137.2847447,6,0.866,95.30452,90,
III,A,8,10.79514554,0,0.16,146.3496,0,
III,A,9,34.09555832,3,0.313,57.89144,56,
III,A,10,9.452048937,0,0.148,91.91149,0,
III,A,11,99.23385594,6,0.706,48.81158,53,
III,A,12,28.09363155,3,0.275,204.7033,170,
III,B,1,177.4712919,5,0.946,73.34083,78,
III,B,2,0,0,0.001,70.00129,0,
III,B,3,31.75794613,0,0.299,59.57024,0,
III,B,4,6.50078753,0,0.13,137.7716,0,
III,B,5,147.5505597,5,0.892,82.29309,81,
III,B,6,76.80380156,1,0.571,41.7843,30,50
III,B,7,118.296921,8,0.79,33.51109,40,
III,B,8,14.42021486,0,0.184,69.05482,0,
III,B,9,7.922173009,0,0.142,71.96865,0,
III,B,10,115.5515605,0,0.77,48.18412,,faint several bands largest at 93
III,B,11,28.97087895,2,0.279,249.4156,220,
III,B,12,23.69859661,0,0.241,82.0261,0,
III,C,1,91.93711625,5,0.665,61.06431,56,
III,C,2,46.04614436,0,0.369,114.3696,0,
III,C,3,29.56454171,0,0.284,72.37159,0,
III,C,4,0,0,0.001,74.23019,0,
III,C,5,214.511556,7,0.98,46.96782,48,
III,C,6,67.46902449,0,0.516,81.32262,,maybe faint 49
III,C,7,12.44557095,0,0.174,167.1223,0,
III,C,8,102.7457856,5,0.718,82.3513,89,
III,C,9,112.072232,7,0.755,48.80735,60,
III,C,10,0,0,0.001,57.43925,0,
III,C,11,0,0,0.001,156.5518,0,
III,C,12,159.7356205,6,0.915,103.454,98,70
III,D,1,129.689985,7,0.837,33.01744,42,
III,D,2,95.69034659,5,0.688,119.3391,97,
III,D,3,30.62940878,0,0.29,100.9715,,band present in multiple nearby wells. Maybe some unusual contaminant
III,D,4,70.99022423,5,0.537,59.69187,47,doublet bands
III,D,5,60.97474048,3,0.468,111.7141,,band present in multiple nearby wells. Maybe some unusual contaminant
III,D,6,123.2806375,1,0.815,116.7482,100,54
III,D,7,3.119729078,0,0.117,61.49833,0,
III,D,8,76.0630874,0,0.565,75.82242,65,
III,D,9,2.060718543,0,0.111,138.9091,0,
III,D,10,62.15990838,5,0.479,49.95784,53,
III,D,11,133.3683112,5,0.857,62.27937,60,
III,D,12,0,0,0.001,106.931,0,
III,E,1,97.0310514,7,0.697,52.93694,59,
III,E,2,83.32375729,0,0.616,56.82315,,small smear bands
III,E,3,108.51812,6,0.738,61.29663,62,
III,E,4,92.1428956,5,0.666,53.19919,53,
III,E,5,98.28209955,5,0.703,65.06427,59,
III,E,6,60.07154604,3,0.456,60.79638,59,
III,E,7,13.63361673,1,0.18,74.06107,,faint 65
III,E,8,58.25909542,6,0.449,77.28818,96,
III,E,9,120.1383121,8,0.799,127.7714,100,
III,E,10,5.850740716,0,0.126,134.1165,0,
III,E,11,0,0,0.001,51.7724,0,
III,E,12,69.35351288,4,0.534,64.81776,60,
III,F,1,46.57665955,0,0.373,141.0842,110,
III,F,2,43.49216307,4,0.355,200.4872,175,
III,F,3,0,0,0.001,138.6189,0,
III,F,4,0,0,0.001,174.8851,0,
III,F,5,90.38054026,3,0.656,50.15282,54,
III,F,6,129.3601529,6,0.834,97.27177,78,
III,F,7,221.5108719,8,0.986,54.43152,53,
III,F,8,0,0,0.001,176.4387,0,
III,F,9,181.8164766,6,0.955,87.55325,71,30
III,F,10,0,0,0.001,47.39059,0,
III,F,11,0,0,0.001,55.02263,0,
III,F,12,60.2538119,1,0.462,41.3698,0,
III,G,1,0,0,0.001,124.4062,,faint 105
III,G,2,36.34300709,6,0.322,64.76678,70,
III,G,3,35.91844833,3,0.321,69.64483,64,
III,G,4,36.34300709,5,0.322,120.5985,100,
III,G,5,71.97617908,4,0.544,52.86146,59,
III,G,6,88.28826327,4,0.639,82.00599,77,
III,G,7,75.78801453,4,0.562,57.53617,60,
III,G,8,33.81783195,5,0.311,129.6333,100,
III,G,9,17.0701979,3,0.196,56.02636,59,
III,G,10,89.43100143,4,0.651,75.93706,69,
III,G,11,0.409412836,0,0.104,64.78727,0,
III,G,12,55.58783899,5,0.434,114.2727,99,
III,H,1,28.46652552,2,0.276,68.14019,63,
III,H,2,108.9960346,5,0.741,76.29279,70,
III,H,3,61.13977714,4,0.471,99.65081,95,
III,H,4,137.5169358,6,0.867,53.02447,59,
III,H,5,116.4117361,5,0.773,93.19234,91,
III,H,6,46.48530393,0,0.37,100.3405,0,
III,H,7,63.69609442,1,0.488,58.84744,61,
III,H,8,79.23215847,4,0.581,178.1578,135,"104,stronger band at slightly lower MW"
III,H,9,171.0992797,7,0.927,43.14767,48,
III,H,10,126.8173267,7,0.828,61.36747,60,
III,H,11,64.06846798,1,0.492,107.9382,,maybe faint 93
III,H,12,38.66521074,0,0.337,62.66218,0,
IV,A,1,31.84665953,0,0.3,60.56803,0,
IV,A,2,1.825838816,0,0.108,61.42047,0,
IV,A,3,0,0,0.001,50.90977,0,
IV,A,4,110.8522684,4,0.751,54.18305,57,
IV,A,5,68.50420272,4,0.525,80.38264,83,
IV,A,6,9.457242405,0,0.15,189.1919,0,
IV,A,7,95.76154221,5,0.69,63.64358,63,
IV,A,8,0,0,0.001,75.38738,0,
IV,A,9,88.36295587,4,0.641,45.28771,49,
IV,A,10,117.0332634,5,0.779,55.26302,60,
IV,A,11,37.32085313,4,0.33,140.2564,106,
IV,A,12,171.2200068,7,0.928,62.09687,60,
IV,B,1,14.73754578,2,0.186,179.4865,220,
IV,B,2,31.30714651,1,0.291,106.8698,,maybe very faint 90
IV,B,3,49.1230791,2,0.391,92.0188,70,
IV,B,4,0,0,0.001,84.68144,0,
IV,B,5,27.55080003,0,0.27,60.43063,0,
IV,B,6,17.02429475,2,0.194,159.382,110,
IV,B,7,0,0,0.001,161.948,0,
IV,B,8,80.40459504,5,0.592,83.12625,70,
IV,B,9,0,0,0.001,169.044,0,
IV,B,10,48.84055106,5,0.385,62.90016,66,
IV,B,11,10.11152354,2,0.153,48.33256,60,
IV,B,12,96.7193051,6,0.694,89.15698,94,
IV,C,1,93.35805124,5,0.672,86.18708,82,
IV,C,2,181.3309895,5,0.952,74.96183,66,
IV,C,3,60.21221705,3,0.461,94.80445,95,
IV,C,4,110.7777109,4,0.75,56.65314,43,22
IV,C,5,0,0,0.001,168.3501,0,
IV,C,6,60.07285925,3,0.458,73.95686,70,
IV,C,7,88.78691696,5,0.644,99.56968,101,
IV,C,8,83.29786607,4,0.614,63.13294,65,
IV,C,9,11.91477681,2,0.163,119.0489,99,
IV,C,10,79.67761806,4,0.584,128.9257,109,
IV,C,11,1.982056978,0,0.11,109.8126,0,
IV,C,12,12.18886836,0,0.169,111.9815,0,
IV,D,1,18.01362146,2,0.202,41.67285,49,
IV,D,2,87.84269531,0,0.636,55.98167,51,other faint bands
IV,D,3,146.7220517,5,0.888,51.75976,53,
IV,D,4,34.05978605,4,0.312,215.6998,170,
IV,D,5,158.4718099,5,0.912,52.53407,61,other faint bands
IV,D,6,158.1073489,7,0.91,64.79345,61,
IV,D,7,0,0,0.001,164.6882,0,
IV,D,8,72.73804657,4,0.552,60.76396,59,
IV,D,9,54.73509046,3,0.425,88.41668,95,
IV,D,10,113.4624333,6,0.761,55.99969,57,
IV,D,11,117.0139868,4,0.776,53.22518,54,
IV,D,12,35.33938664,4,0.319,104.7301,118,
IV,E,1,68.51016282,5,0.526,48.80452,54,
IV,E,2,17.37220896,2,0.199,54.20096,80,
IV,E,3,66.26649629,5,0.507,120.1179,100,
IV,E,4,71.99662407,5,0.546,168.272,135,
IV,E,5,104.79991,6,0.726,71.06005,62,other faint bands
