Uniprot,Symbol,Plasmid_ID_BLH,band_MW,conc_ngul,band_intensity,ul_bait,ul_prey
P31994,FCGR2B,4352,54,67.44190503,5,0.1054,0.0221
P54764,EPHA4,3765,82,434.105157,8,0.0295,0.0062
P12319,FCER1A,1817,65,85.96175886,5,0.0833,0.0175
O14523,C2CD2L,5249,110,127.7121722,5,0.1216,0.0255
P13747-P61769,HLA-E-B2M,5137,,255.224891,0,0.0422,0.0089
P40189,IL6ST,1772,100,66.92043453,6,0.2133,0.0447
P06734,FCER2,2161,62,102.7712137,7,0.0909,0.019
O95297,MPZL1,5069,50,351.2940365,7,0.0178,0.0037
Q6GTX8,LAIR1,5095,51,367.3607039,9,0.0176,0.0037
Q06481,APLP2,1752,98,318.0385921,8,0.0488,0.0102
P43629,KIR3DL1,5042,,346.0062372,0,0.0271,0.0057
P15813-P61769,CD1D-B2M,5083,,6.271189961,0,0.5104,0.3564
P17693-P61769,HLA-G-B2M,5159,,90.89447701,0,0.1186,0.0249
P42081,CD86,4794,68,343.2156286,7,0.0231,0.0048
P40199,CEACAM6,5150,74,175.9106856,6,0.0501,0.0105
Q8N743,KI3L3,5326,,45.94341902,0,0.1932,0.0405
Q9P0V8,SLAMF8,4382,56,54.3909528,3,0.1379,0.0289
Q96LA6,FCRL1,5013,,97.3534689,0,0.0909,0.019
O00533,CHL1,4882,180,186.8877262,8,0.117,0.0245
Q96AP7,ESAM,1764,60,142.6620524,6,0.0535,0.0112
P15260,IFNGR1,4815,62,135.6369675,5,0.0586,0.0123
Q99523,SORT1,1838,99,70.21941918,6,0.2306,0.0483
Q8IYS5,OSCAR,4369,60,252.1961819,7,0.0303,0.0064
Q9P2B2,PTGFRN,3724,120,83.44084835,7,0.2117,0.0444
P50591,TNFSF10,5230,,108.2476207,0,0.0827,0.0173
Q9BX67,JAM3,1773,58,393.6653029,8,0.0196,0.0041
P30511-P61769,HLA-F-B2M,5148,,179.1861413,0,0.0602,0.0126
O75487,GPC4,5090,,192.6563063,0,0.0664,0.0139
Q5VY43,PEAR1,1803,100,300.663286,2,0.0523,0.011
Q9BQ51,PD1L2,3752,,167.398952,1,0.0448,0.0094
P05026,ATP1B1,5270,63,100.8473324,6,0.0888,0.0186
P05067,APP,1753,120,238.5359103,7,0.0658,0.0138
Q02223,TNFRSF17,4908,42,267.2596789,7,0.0185,0.0039
O14836,TNFRSF13B,4907,45,47.97351681,3,0.1441,0.0302
P78357,CNTP1,3761,,42.64594786,0,0.5998,0.1257
P10586,PTPRF,4890,150,167.7885026,7,0.1459,0.0306
Q6UXB8,PI16,5012,92,55.36060806,4,0.1961,0.0411
Q8N6Q3,CD177,5084,66,42.17943777,5,0.244,0.0511
P10721,KIT,3657,92,131.3501423,6,0.0953,0.02
P08138,TNR16,5290,63,224.8821458,5,0.0338,0.0071
P26842,CD27,5029,60,72.35299806,4,0.0953,0.02
Q15363,TMED2,1795,45,61.57840923,3,0.1074,0.0225
O00220,TNFRSF10A,5079,48,76.94532747,5,0.0973,0.0204
Q86WK7,AMIGO3,5089,,174.2598355,0,0.0582,0.0122
P33681,CD80,4793,67,379.5692366,8,0.0202,0.0042
P59901,LILRA4,5024,,13.48539874,0,0.5526,0.1737
O43736,ITM2A,5281,53,120.8372806,6,0.065,0.0136
P40200,CD96,4859,150,258.8341612,3,0.0476,0.01
Q969P0,IGSF8,4378,80,115.9525311,6,0.1111,0.0233
P10747,CD28,5349,58,52.44501847,1,0.1208,0.0253
P26717-Q13241,KLRC2-KLRD1,5252,53,158.9725389,5,0.0898,0.0188
Q9HCU0,CD248,3779,115,30.42231183,4,0.4827,0.1011
Q9BZW8,CD244,4834,66,23.35206824,2,0.3246,0.068
P20138,CD33,4347,60,174.7155828,6,0.0465,0.0097
P01833,PIGR,5198,94,375.1997596,8,0.038,0.008
P13688,CEACAM1,5128,,410.1933377,0,0.0258,0.0054
Q9H665,IGFLR1,5040,52,295.1846046,5,0.0216,0.0045
P11717,IGF2R,4817,,39.45239355,1,0.6607,0.1384
Q96A33,CCDC47,5026,49,368.8168694,7,0.0165,0.0035
P29965,CD40LG,2162,,34.90295743,1,0.2382,0.0499
Q16832,DDR2,5295,70,191.6147323,6,0.0547,0.0115
Q30201-P61769,HFE-B2M,5105,,100,1,0.1086,0.0227
P22897,MRC1,4957,180,43.41104323,5,0.6349,0.133
Q9C0C4,SEMA4C,5203,96,93.95893074,2,0.1585,0.0332
Q92692,PVRL2,1785,67,227.0906176,6,0.0412,0.0086
P13591,NCAM1,4791,104,346.6307105,8,0.0455,0.0095
O95727,CRTAM,3756,53,368.0743412,7,0.0233,0.0049
P29323,EPHB2,3769,86,327.0890134,7,0.0391,0.0082
O14763,TR10B,5317,50,318.5159082,7,0.0208,0.0043
Q13291,SLAMF1,4833,65,361.1711197,7,0.0214,0.0045
Q08722,CD47,3075,58,75.9408161,5,0.081,0.017
Q9H5V8,CDCP1,5025,105,46.39865219,6,0.3205,0.0671
O76036,NCR1,5086,60,94.4551476,4,0.085,0.0178
Q8NHL6,LILRB1,4822,74,369.7533301,7,0.0302,0.0063
Q9H7M9,C10orf54,4927,62,374.8874287,8,0.0182,0.0038
Q9Y219,JAG2,3732,,45.4429205,0,0.4627,0.0969
Q9HCM2,PLX4,4883,180,26.22584247,5,0.619,0.1946
Q24JP5,TMEM132A,4361,130,120.0153488,7,0.1437,0.0301
Q96DU3,SLAMF6,4379,62,327.0720965,7,0.023,0.0048
Q86X29,LSR,5046,48,235.4780673,6,0.0316,0.0066
Q96L08,SUSD3,4906,,116.3782441,0,0.0489,0.0103
Q9UHN6,TMEM2,4897,170,43.29752885,5,0.6034,0.1264
P16410,CTLA4,5347,49,80.0234389,5,0.0755,0.0158
O00548,DLL1,5145,68,257.7593318,7,0.049,0.0103
P19022,CDH2,3416,110,360.1439041,7,0.0434,0.0091
P26715-Q13241,KLRC1-KLRD1,5227,54,183.1635807,4,0.0784,0.0164
Q8NHJ6,LILRB4,4374,58,153.2628279,6,0.0517,0.0108
Q9NPY3,CD93,3721,96,29.40024325,4,0.4383,0.0918
P16284,PECAM1,1747,98,81.87935945,6,0.1681,0.0352
Q15223,PVRL1,4827,70,361.5316781,8,0.0263,0.0055
O14931,NCR3,5043,53,408.1875929,9,0.0148,0.0031
Q9BY67,CADM1,4856,74,399.0047176,8,0.0229,0.0048
Q86XS8,RNF130,4985,60,158.5435652,6,0.0433,0.0091
,empty,,,31.19271166,0,0,0
,rCD4,,30,344.9907431,8,0.0113,0.0024
Q13445,TMED1,1793,,616.8377658,1,0.0113,0.0024
Q92896,GLG1,3777,130,250.0036543,6,0.0928,0.0194
Q03167,TGFBR3,4930,,33.13884288,1,0.5082,0.1065
Q9NUM4,TMEM106B,5231,,470.3699947,1,0.0158,0.0033
Q6UXG2,KIAA1324,5153,100,64.36028807,1,0.2857,0.0599
P29016-P61769,CD1B-B2M,5299,,58.71634164,1,0.1498,0.0314
Q9P0T7,TMEM9,4889,42,152.495446,4,0.0344,0.0072
Q8TDQ1,CD300LF,4376,53,156.3541409,3,0.0395,0.0083
P16070,CD44,4845,66,148.39245,5,0.0499,0.0105
Q9NPH3,IL1RAP,5082,70,81.51655904,3,0.121,0.0254
O75888,TNFSF13,5268,42,94.99789159,5,0.0851,0.0178
Q9UHC6,CNTP2,4887,160,58.58394667,4,0.4221,0.0884
P25942,CD40,1759,53,304.7205357,6,0.0228,0.0048
O00241,SIRPB1,"4328, 4832",66,333.5690763,7,0.029,0.0061
P08174,CD55,3076,68,118.9430602,5,0.0785,0.0165
Q9NP84,TNR12,4954,38,287.7976607,7,0.0172,0.0036
P29317,EPHA2,3764,81,69.92481247,5,0.1788,0.0375
P24071,FCAR,5027,64,240.5980118,3,0.0315,0.0066
P22455,FGFR4,5319,72,217.6232731,6,0.0453,0.0095
P15151,PVR,4928,,173.5616676,1,0.0539,0.0113
O75326,SEMA7A,4939,91,147.6576534,7,0.0969,0.0203
P43121,MCAM,3673,94,190.0002419,7,0.0687,0.0144
Q5T2D2,TREML2,5120,82,77.47970749,3,0.1055,0.0221
P12830,CDH1,5132,85,253.8527418,4,0.0608,0.0127
Q5JPE7,NOMO2,4878,120,3.727860663,2,0.3058,1.2813
Q9NQS3,NECT3,5315,75,64.38489187,4,0.1523,0.0319
Q9ULL4,PLXNB3,4892,,22.28332076,0,0.6292,0.2197
P01130,LDLR,5071,108,660,3,0.0254,0.0053
O14786,NRP1,5074,104,656.6291154,3,0.0277,0.0058
P42702,LIFR,5285,140,60.28342884,2,0.2908,0.0609
P01589,IL2RA,5031,66,73.26260224,6,0.1059,0.0222
O43508,TNFSF12,5234,43,87.5121694,5,0.0928,0.0194
O75022,LILRB3,5020,80,259.2314034,7,0.0421,0.0088
P34741,SDC2,4830,53,240.0867533,6,0.0258,0.0054
Q6EMK4,VASN,3775,90,264.8680308,8,0.0493,0.0103
Q08345,DDR1,5289,68,200.4994588,7,0.0535,0.0112
Q15762,CD226,1757,66,227.6506845,3,0.0356,0.0074
P98172,EFNB1,1762,55,240.7690274,7,0.0315,0.0066
Q13740,ALCAM,4785,94,229.7317832,7,0.0544,0.0114
P01732-P01732,CD8A-CD8A,5127,,471.5655837,0,0.0204,0.0043
Q9UHX3,AGRE2,4474,96,139.7583099,5,0.0899,0.0188
P16109,SELP,1748,120,95.44412843,5,0.1686,0.0353
P31997,CEACAM8,4803,73,237.5774145,7,0.0375,0.0079
Q96JA1,LRIG1,4846,102,28.30571456,4,0.3454,0.0724
P57087,JAM2,5297,59,324.8210628,8,0.0235,0.0049
P16871,IL7R,5055,65,134.3403376,2,0.0588,0.0123
Q8IW52,SLITRK4,5196,94,33.38016811,4,0.4253,0.0891
O00451,GFRA2,5101,86,98.43239582,5,0.1132,0.0237
O75144,ICOSLG,4855,70,218.7762972,6,0.0364,0.0076
O60486,PLXNC1,4330,160,48.28894664,3,0.3959,0.083
P02786,TFRC,2163,93,82.31423148,4,0.194,0.0406
Q9Y6W8,ICOS,5348,,7.44667046,0,0.5415,0.1702
P78380,OLR1,5253,60,246.8752721,6,0.0341,0.0071
Q10588,BST1,4359,62,324.6009148,8,0.0266,0.0056
Q03405,PLAUR,4358,66,135.5533936,5,0.0657,0.0138
P08887,IL6R,5093,73,317.7989119,8,0.0311,0.0065
Q8N423,LILRB2,4372,74,75.57635964,5,0.1487,0.0312
Q9NPF0,CD320,5035,65,334.4641262,7,0.0212,0.0044
P06756-P05106,ITGAV-ITGB3,1827,170,42.69285442,3,0.4919,0.1546
P78504,JAG1,4955,170,108.0092062,5,0.1953,0.0409
P40198,CEACAM3,4355,47,349.5187555,9,0.0173,0.0036
Q9H3S1,SEMA4A,5211,90,63.95457317,5,0.2323,0.0487
P32970,CD70,5238,,37.91815387,1,0.1916,0.0401
Q9NPR2,SEMA4B,4988,,322.2833579,0,0.047,0.0098
Q12860,CNTN1,5199,160,43.70096659,4,0.4663,0.0977
P16581,LYAM2,2394,106,259.2006061,7,0.0497,0.0104
P08195,SLC3A2,2159,77,348.6551091,7,0.0334,0.007
P49771,FLT3LG,5110,54,356.5376161,8,0.0191,0.004
P36888,FLT3,5294,,6.739430523,0,0.4845,0.3955
Q9Y624,F11R,4938,53,362.0421669,8,0.0208,0.0044
P09326,CD48,4931,60,451.8046712,9,0.0165,0.0035
P54762,EPHB1,1763,,136.5332519,1,0.0942,0.0197
Q8N109,KIR2DL5A,5049,62,84.29337161,4,0.089,0.0187
Q9BXR5,TLR10,5296,,5.632844202,0,0.3914,0.5126
O75509,TNFRSF21,5077,71,336.1873811,9,0.0272,0.0057
Q92854,SEMA4D,5063,120,137.2097163,6,0.116,0.0243
Q96E93,KLRG1,5240,,8.774023049,1,0.529,0.1663
Q9UKJ1,PILRA,4383,55,90.78991915,5,0.0784,0.0164
P32004,L1CAM,4820,180,138.250407,7,0.1633,0.0342
Q7Z6M3,MILR1,4366,,75.11453616,0,0.0992,0.0208
Q92823,NRCAM,3705,170,276.4306818,6,0.0832,0.0174
P21802,FGFR2,5309,88,328.9334435,8,0.0302,0.0063
Q9Y275,TNFSF13B,5242,47,74.83080646,5,0.1096,0.023
O14798,TNFRSF10C,5054,70,269.5531397,6,0.0276,0.0058
Q9HCN6,GP6,1768,65,104.3921866,5,0.0779,0.0163
Q495A1,TIGIT,3757,50,73.99447327,4,0.0818,0.0171
Q9NZQ7,CD274,3744,61,351.4205785,8,0.0222,0.0047
P17301-P05556,ITGA2-ITGB1,1824,170,31.3513714,3,0.6138,0.2269
Q10589,BST2,5261,,37.70652272,0,0.1838,0.0385
O15031,PLXNB2,4329,,33.19410532,0,0.5901,0.1484
P04233,CD74,5250,51,66.64310192,4,0.1281,0.0268
Q86YT9,AMICA1,5016,62,19.27577857,2,0.4342,0.091
O75871,CEACAM4,5088,68,224.3451422,5,0.0267,0.0056
Q8TF66,LRRC15,4823,93,77.49933221,5,0.1646,0.0345
,pf41,2742,64,334.9547452,7,0.0296,0.0062
,pf12,2728,61,130.9141155,6,0.0676,0.0142
